marker_type,x,y,z,long_range,area_id
ScrapMetalPart,-1131536,190680,5103,f,17
ScrapMetalWreckage,-1130440,201387,6440,f,17
ScrapMetalPart,-1127031,193761,4397,f,17
ScrapMetalPart,-1132693,195344,4939,f,17
FuelCellPart,-1130767,200478,6252,f,17
FuelCellPart,-1128986,192616,4570,f,17
BrittleBush,-751208,1035450,18751,f,11
RhyolitePickup,-751055,1034622,18780,f,11
ScrapMetalWreckage,-751864,1035984,18816,f,11
ScrapMetalPart,-751773,1036234,18852,f,11
ScrapMetalPart,-1129147,204176,7254,f,17
FuelCellPart,-1124116,205544,7204,f,17
ScrapMetalPart,-1120324,203707,5684,f,17
ScrapMetalWreckage,-1124010,209580,7320,f,17
BasaltPickup,-1118747,206542,5802,f,17
ScrapMetalPart,-1127859,205076,7270,f,17
FuelCellWreckage,-1125937,202153,6544,f,17
ScrapMetalPart,-1125484,207764,7309,f,17
ScrapMetalWreckage,-1128126,205037,7269,f,17
FuelCellPart,-1124723,1086663,22927,f,13
BasaltOre,-1118672,206400,5706,f,17
ScrapMetalWreckage,-1120425,203596,5718,f,17
BrittleBush,-1118255,207244,5743,f,17
FuelCellPart,-1124036,208608,7313,f,17
BrittleBush,-1118916,204652,5421,f,17
ScrapMetalWreckage,-1125689,207620,7308,f,17
ScrapMetalWreckage,-1124832,208665,7313,f,17
FuelCellPart,-1125815,202078,6516,f,17
FuelCellPart,-1122173,198951,6079,f,17
RhyolitePickup,-1124416,203465,6523,f,17
BrittleBush,-1121537,203820,5954,f,17
ScrapMetalPart,-1125040,208485,7312,f,17
AzuritePickup,-1137243,1073477,15492,f,13
TitaniumPickup,-712011,-595165,4678,f,26
TitaniumOre,-712165,-594971,4652,f,26
StravidiumOre,-705637,-600933,-1322,f,26
StravidiumOre,-712497,-627698,3731,f,26
TitaniumPickup,-725119,-608108,4558,f,47
StravidiumPickup,-712772,-624092,4711,f,26
StravidiumOre,-696995,-633677,1812,f,26
TitaniumPickup,-714517,-623648,4572,f,26
StravidiumOre,-702907,-624491,4892,f,26
StravidiumPickup,-702714,-624056,4854,f,26
StravidiumOre,-713114,-624426,4498,f,26
TitaniumOre,-714481,-623861,4553,f,26
TitaniumOre,-725528,-608085,4500,f,47
TitaniumOre,-696817,-643831,2474,f,26
StravidiumPickup,-696619,-633627,1868,f,26
StravidiumPickup,-712438,-628104,3593,f,26
StravidiumOre,-696147,-609189,7269,f,26
TitaniumOre,-692735,-605518,5199,f,26
StravidiumPickup,-695853,-609308,7256,f,26
TitaniumOre,-698468,-611583,7657,f,26
ScrapMetalPart,-698891,-611496,7561,f,26
ScrapMetalPart,-692408,-605271,5111,f,26
StravidiumOre,-682029,-675360,19597,f,26
ScrapMetalPart,-682253,-675685,19579,f,26
TitaniumOre,-585928,-724839,772,f,26
TitaniumPickup,-578010,-708723,1666,f,26
TitaniumPickup,-608504,-706901,8216,f,26
TitaniumPickup,-614944,-705532,7727,f,26
TitaniumOre,-582885,-711136,823,f,26
TitaniumPickup,-635185,-717385,1220,f,26
TitaniumOre,-618641,-730116,2045,f,46
TitaniumPickup,-583620,-707127,2168,f,26
TitaniumPickup,-604159,-711485,8213,f,26
TitaniumOre,-632787,-711137,1366,f,26
TitaniumOre,-623075,-714008,7014,f,26
TitaniumOre,-633643,-704413,2209,f,26
TitaniumOre,-600716,-712487,5654,f,26
TitaniumOre,-629312,-700772,1723,f,26
TitaniumPickup,-599184,-718853,3885,f,26
TitaniumPickup,-594517,-719843,3005,f,26
ScrapMetalPart,-579165,-707531,2900,f,26
TitaniumPickup,-592808,-718604,3408,f,26
TitaniumOre,-583552,-711422,753,f,26
FuelCellPart,-1119154,1078880,21886,f,13
TitaniumOre,-612411,-701201,5489,f,26
TitaniumPickup,-586053,-724481,828,f,26
TitaniumOre,-604312,-697556,5229,f,26
TitaniumOre,-623194,-713174,7077,f,26
ScrapMetalPart,-578281,-703677,1399,f,26
TitaniumOre,-586528,-708002,577,f,26
TitaniumOre,-583954,-707386,2185,f,26
ScrapMetalPart,-627041,-743663,2850,f,46
TitaniumPickup,-603951,-697331,5238,f,26
TitaniumOre,-614523,-706598,7657,f,26
ScrapMetalPart,-619392,-719336,5116,f,26
TitaniumPickup,-623089,-712918,7086,f,26
TitaniumPickup,-610833,-705484,7893,f,26
TitaniumOre,-613267,-730150,1588,f,46
TitaniumOre,-623387,-702504,4151,f,26
TitaniumOre,-585592,-706331,755,f,26
TitaniumOre,-595331,-716310,5270,f,26
TitaniumPickup,-615635,-721195,5126,f,26
TitaniumOre,-614440,-723998,2903,f,26
TitaniumPickup,-617744,-693596,2747,f,26
TitaniumOre,-575624,-706451,1268,f,26
TitaniumOre,-630527,-710872,3422,f,26
TitaniumPickup,-592159,-712876,4273,f,26
TitaniumPickup,-629686,-715955,2215,f,26
ScrapMetalPart,-586178,-707908,619,f,26
ScrapMetalPart,-614190,-723669,2964,f,26
TitaniumPickup,-627587,-744518,2914,f,46
TitaniumPickup,-611800,-730101,1715,f,46
TitaniumPickup,-614584,-706296,7700,f,26
ScrapMetalPart,-598665,-695766,1700,f,26
TitaniumOre,-601855,-710746,8111,f,26
TitaniumPickup,-596426,-720930,2321,f,26
TitaniumOre,-611097,-731092,1275,f,46
TitaniumOre,-617369,-693431,2736,f,26
TitaniumOre,-601879,-696485,4526,f,26
TitaniumOre,-627691,-744280,2947,f,46
TitaniumPickup,-610905,-706103,8085,f,26
TitaniumOre,-590373,-712872,4145,f,26
TitaniumPickup,-608106,-700926,4643,f,26
TitaniumOre,-594345,-719711,3064,f,26
TitaniumOre,-626750,-743440,2916,f,46
TitaniumOre,-615369,-731331,456,f,46
ScrapMetalPart,-615165,-731604,432,f,46
ScrapMetalPart,-623434,-702369,4137,f,26
ScrapMetalPart,-618477,-730492,2032,f,46
TitaniumPickup,-592059,-718283,3423,f,26
TitaniumOre,-612100,-730345,1662,f,46
TitaniumOre,-591861,-712594,4319,f,26
TitaniumPickup,-582652,-710220,1191,f,26
TitaniumOre,-593239,-718702,3385,f,26
TitaniumPickup,-598099,-703105,3646,f,26
TitaniumOre,-597795,-715566,5744,f,26
TitaniumOre,-581211,-719780,926,f,26
TitaniumOre,-604802,-716988,5899,f,26
TitaniumPickup,-628330,-713131,3774,f,26
TitaniumOre,-594618,-715464,5330,f,26
ScrapMetalPart,-590773,-712644,4178,f,26
TitaniumPickup,-583404,-708571,2715,f,26
TitaniumOre,-578162,-709067,1641,f,26
TitaniumPickup,-621427,-742393,2247,f,46
TitaniumOre,-597164,-723794,2026,f,26
TitaniumPickup,-619264,-741397,1130,f,46
ScrapMetalPart,-623140,-738020,1034,f,46
TitaniumOre,-628786,-697200,1782,f,26
TitaniumOre,-621253,-696328,2663,f,26
TitaniumOre,-598466,-703318,3649,f,26
TitaniumOre,-602425,-715733,5124,f,26
TitaniumOre,-628123,-713059,3745,f,26
TitaniumPickup,-600725,-712261,5663,f,26
TitaniumPickup,-575531,-706865,1212,f,26
TitaniumOre,-605344,-710674,8079,f,26
TitaniumOre,-631579,-704051,2188,f,26
TitaniumPickup,-630915,-711004,3341,f,26
ScrapMetalPart,-605139,-711058,8138,f,26
TitaniumPickup,-631276,-704327,2189,f,26
TitaniumOre,-604303,-709334,8395,f,26
TitaniumPickup,-582625,-711182,868,f,26
TitaniumOre,-578751,-707412,2895,f,26
TitaniumPickup,-579434,-705338,2908,f,26
TitaniumPickup,-599221,-715475,5552,f,26
TitaniumPickup,-592948,-721502,697,f,26
TitaniumPickup,-604084,-709645,8374,f,26
TitaniumPickup,-632423,-711356,1324,f,26
TitaniumPickup,-585323,-706642,752,f,26
ScrapMetalPart,-596888,-720678,2371,f,26
ScrapMetalPart,-614874,-730698,650,f,46
TitaniumPickup,-621964,-741035,2794,f,46
TitaniumOre,-584359,-710957,891,f,26
TitaniumPickup,-605132,-716723,5900,f,26
TitaniumOre,-582381,-710107,1269,f,26
TitaniumOre,-626235,-743217,2974,f,46
TitaniumPickup,-620713,-715204,5828,f,26
TitaniumPickup,-635745,-709042,2226,f,26
TitaniumPickup,-604170,-723951,2587,f,26
TitaniumOre,-607877,-701278,4656,f,26
TitaniumOre,-591644,-708701,1953,f,26
TitaniumOre,-610895,-705167,7757,f,26
TitaniumPickup,-611485,-730960,1344,f,46
TitaniumOre,-619292,-719746,5136,f,26
TitaniumOre,-608333,-696864,5243,f,26
TitaniumOre,-591779,-717983,3398,f,26
TitaniumOre,-615056,-730452,661,f,46
TitaniumOre,-621160,-742065,2264,f,46
TitaniumOre,-620358,-719776,5146,f,26
TitaniumPickup,-597687,-715170,5769,f,26
ScrapMetalPart,-621147,-696739,2685,f,26
TitaniumPickup,-595393,-716320,5247,f,26
ScrapMetalPart,-622672,-714088,7032,f,26
TitaniumPickup,-619961,-719925,5124,f,26
ScrapMetalPart,-628719,-697190,1818,f,26
TitaniumPickup,-633964,-704673,2155,f,26
ScrapMetalPart,-602166,-696675,4507,f,26
TitaniumOre,-621836,-740703,2834,f,46
TitaniumOre,-578597,-703960,1522,f,26
TitaniumPickup,-577615,-703432,1282,f,26
ScrapMetalPart,-627252,-742108,1744,f,46
TitaniumOre,-611240,-706340,8095,f,26
TitaniumOre,-599074,-695739,1737,f,26
TitaniumPickup,-608193,-697249,5364,f,26
TitaniumPickup,-629417,-701067,1724,f,26
TitaniumPickup,-577645,-702919,1073,f,26
TitaniumPickup,-594591,-715779,5319,f,26
TitaniumOre,-635824,-708736,2187,f,26
TitaniumOre,-596846,-720270,2409,f,26
TitaniumOre,-620924,-714695,5731,f,26
TitaniumPickup,-577912,-719482,660,f,26
TitaniumOre,-583604,-708866,2755,f,26
TitaniumOre,-607479,-719007,4749,f,26
TitaniumOre,-609010,-727743,1849,f,46
TitaniumOre,-611653,-704312,7608,f,26
TitaniumPickup,-597121,-724202,1971,f,26
ScrapMetalPart,-609099,-727718,1809,f,46
TitaniumPickup,-591381,-708993,1925,f,26
TitaniumPickup,-601472,-708288,8036,f,26
TitaniumPickup,-580904,-719506,787,f,26
TitaniumOre,-603766,-711285,8172,f,26
TitaniumOre,-577223,-702873,1081,f,26
TitaniumOre,-601114,-708087,7958,f,26
TitaniumOre,-581950,-704927,1594,f,26
TitaniumPickup,-625858,-743008,2979,f,46
TitaniumPickup,-607827,-719224,4733,f,26
TitaniumOre,-619665,-727553,1127,f,46
TitaniumOre,-615684,-720788,5118,f,26
TitaniumPickup,-612424,-701578,5542,f,26
TitaniumOre,-629469,-716305,2271,f,26
TitaniumOre,-577197,-703500,1300,f,26
TitaniumOre,-627183,-741738,1719,f,46
TitaniumPickup,-582127,-704668,1490,f,26
TitaniumOre,-596357,-721347,2264,f,26
TitaniumPickup,-602687,-716049,5017,f,26
TitaniumOre,-592851,-721970,634,f,26
TitaniumPickup,-613112,-730603,1534,f,46
TitaniumPickup,-584082,-710637,1010,f,26
TitaniumOre,-598847,-715642,5604,f,26
TitaniumOre,-599224,-694559,1454,f,26
TitaniumOre,-608202,-706623,8226,f,26
TitaniumOre,-614773,-705153,7793,f,26
TitaniumPickup,-599083,-694827,1526,f,26
TitaniumPickup,-611297,-704518,7665,f,26
TitaniumPickup,-602228,-710574,8175,f,26
TitaniumOre,-578795,-705457,3395,f,26
TitaniumOre,-599316,-718563,3919,f,26
TitaniumOre,-604344,-724286,2575,f,26
ScrapMetalPart,-579040,-728135,956,f,46
TitaniumOre,-576021,-722599,964,f,26
TitaniumOre,-578907,-728565,1035,f,46
FuelCellPart,-1127698,1072601,16307,f,13
HomeBase,-611736.375,-700183.4375,4724.33642578125,f,0
TitaniumOre,-634145,-636891,4141,f,26
StravidiumOre,-634702,-635390,3906,f,26
ScrapMetalPart,-634518,-635165,3842,f,26
TitaniumPickup,-634115,-636514,4073,f,26
AzuritePickup,-1128900,1074641,16115,f,13
RhyolitePickup,-1083600,1095187,17358,f,13
RhyolitePickup,-1089938,1102160,16898,f,13
HomeBase,-634615,-635457.0625,4139.3447265625,f,0
ScrapMetalPart,-224738,-185791,1972,f,41
Ecolab,-201473,-214617,2790,t,30
ScrapMetalWreckage,-222723,-185668,2001,f,41
ScrapMetalPart,-222778,-185412,1960,f,41
RhyolitePickup,-222873,-184825,1994,f,41
ScrapMetalPart,-222631,-186035,2124,f,41
RhyolitePickup,-222146,-185998,2154,f,41
RhyolitePickup,-222599,-184252,1990,f,41
ScrapMetalPart,-203198,-195470,5848,f,30
ScrapMetalPart,-207816,-192980,3206,f,30
RhyolitePickup,-201093,-192198,9254,f,0
ScrapMetalPart,-198496,-190478,5520,f,30
BasaltPickup,-202756,-191226,9271,f,30
ScrapMetalPart,-198532,-199289,4589,f,30
ScrapMetalPart,-190059,-195520,1660,f,30
BasaltOre,-202389,-191114,9274,f,30
ScrapMetalWreckage,-208007,-192782,3206,f,30
BrittleBush,-196593,-192213,5162,f,30
TitaniumOre,-206618,-199016,5630,f,30
BrittleBush,-193004,-199621,2907,f,30
RhyolitePickup,-208165,-191800,3201,f,30
TitaniumPickup,-206887,-199169,5638,f,30
RhyolitePickup,-200894,-200444,5027,f,30
BrittleBush,-198791,-195806,5692,f,30
ScrapMetalWreckage,-190230,-195566,1653,f,30
AzuritePickup,-193623,-191137,2038,f,30
ScrapMetalWreckage,-203308,-195733,5840,f,30
TitaniumOre,-192613,-203159,1722,f,30
BrittleBush,-192487,-204877,1476,f,30
RhyolitePickup,-191664,-201637,2056,f,30
FuelCellPart,-191248,-191849,1539,f,30
BrittleBush,-192395,-204020,1543,f,30
ScrapMetalPart,-189487,-202819,1366,f,30
ScrapMetalWreckage,-191591,-191669,1552,f,30
ScrapMetalPart,-191480,-202004,1933,f,30
ScrapMetalPart,-191437,-191445,1538,f,30
ScrapMetalWreckage,-191220,-202011,1847,f,30
ScrapMetalPart,-189871,-202608,1389,f,30
RhyolitePickup,-188483,-195699,1731,f,30
FuelCellPart,-187931,-196052,1715,f,30
ScrapMetalPart,-189819,-202006,1510,f,30
FuelCellWreckage,-187877,-195921,1719,f,30
FuelCellPart,-188699,-206683,1452,f,30
AzuritePickup,-1122577,1093008,16100,f,13
BasaltOre,-1121995,1082723,22934,f,13
AzuritePickup,-1126349,1070835,16321,f,13
ScrapMetalWreckage,-188799,-195262,1748,f,30
ScrapMetalPart,-188962,-195480,1751,f,30
ScrapMetalPart,-187328,-196574,1673,f,30
FuelCellPart,-190009,-201416,1604,f,30
FuelCellPart,-193568,-206063,1538,f,30
ScrapMetalPart,-184802,-204543,1165,f,30
ScrapMetalWreckage,-197288,-212520,5054,f,30
BasaltPickup,-197174,-209585,5330,f,30
ScrapMetalPart,-200861,-221562,1619,f,30
BasaltPickup,-203344,-217869,4730,f,30
BasaltOre,-197191,-209243,5342,f,30
BasaltOre,-203624,-217568,4714,f,30
ScrapMetalPart,-204886,-216577,4475,f,30
ScrapMetalPart,-198805,-208038,5065,f,30
RhyolitePickup,-198067,-202230,4899,f,30
BrittleBush,-201338,-220529,1634,f,30
RhyolitePickup,-198313,-220173,1643,f,30
ScrapMetalWreckage,-205515,-218462,4612,f,30
BrittleBush,-199393,-207603,5127,f,30
RhyolitePickup,-197092,-212732,5056,f,30
FuelCellPart,-205119,-218626,4570,f,30
ScrapMetalPart,-196919,-218789,1645,f,30
ScrapMetalPart,-197181,-212308,5056,f,30
RhyolitePickup,-198684,-211752,5037,f,30
RhyolitePickup,-200369,-219700,1617,f,30
ScrapMetalWreckage,-198576,-207895,5066,f,30
ScrapMetalPart,-204358,-216492,4397,f,30
ScrapMetalWreckage,-204558,-216675,4402,f,30
ScrapMetalPart,-205289,-218421,4576,f,30
BrittleBush,-199421,-219769,1621,f,30
NoIcon,-201481,-214955,1670,f,0
AzuritePickup,-206422,-218547,4745,f,30
BrittleBush,-202139,-221225,1650,f,30
ScrapMetalWreckage,-201139,-221542,1611,f,30
ScrapMetalPart,-205969,-213815,5836,f,30
AzuritePickup,-206151,-218267,4688,f,30
ScrapMetalWreckage,-201082,-222428,1584,f,30
ScrapMetalWreckage,-206089,-213220,5846,f,30
ScrapMetalWreckage,-207207,-213682,6075,f,30
BrittleBush,-206446,-212475,5882,f,30
FuelCellPart,-206996,-209493,6326,f,30
FuelCellPart,-207335,-210316,6250,f,30
ScrapMetalWreckage,-201695,-207742,5745,f,30
FuelCellPart,-202422,-206437,5734,f,30
ScrapMetalPart,-207110,-211038,6129,f,30
ScrapMetalPart,-201684,-207736,5737,f,30
ScrapMetalPart,-205613,-204562,5684,f,30
ScrapMetalWreckage,-205619,-204712,5718,f,30
ScrapMetalPart,-208149,-206338,6316,f,30
ScrapMetalWreckage,-208074,-206497,6327,f,30
ScrapMetalPart,-202743,-205668,5650,f,30
ScrapMetalPart,-208514,-209833,6454,f,30
ScrapMetalWreckage,-202796,-205934,5686,f,30
BrittleBush,-206896,-204670,6002,f,0
Hazard_Quicksand,-201594,-199601,-2772,f,30
Hazard_Quicksand,-201153,-198693,-2772,f,30
Hazard_Quicksand,-200539,-199399,-2772,f,30
BauxitePickup,-198114,-186815,1577,f,41
BrittleBush,-195373,-187941,1571,f,41
FuelCellPart,-193717,-188920,1561,f,30
BauxiteOre,-198479,-187004,1605,f,41
BauxiteOre,-206518,-186615,1571,f,41
RhyolitePickup,-206098,-186311,1555,f,41
RhyolitePickup,-198460,-186005,1554,f,41
BrittleBush,-201295,-183807,1534,f,41
RhyolitePickup,-198491,-184549,1554,f,41
BauxitePickup,-206675,-186334,1540,f,41
AzuritePickup,-207645,-190839,3255,f,30
FuelCellPart,-197875,-184296,1538,f,41
FuelCellWreckage,-195805,-185428,1532,f,41
RhyolitePickup,-197246,-185382,1532,f,41
RhyolitePickup,-193283,-218379,1687,f,30
ScrapMetalWreckage,17641,-203321,1746,f,39
ScrapMetalPart,-3352,-191950,2742,f,39
TitaniumPickup,23660,-209225,2892,f,39
RhyolitePickup,16122,-207002,8076,f,39
ScrapMetalWreckage,-627,-199878,4015,f,39
FuelCellPart,-1612,-197623,3689,f,39
ScrapMetalWreckage,-2288,-228344,447,f,39
TitaniumPickup,-8603,-204212,4070,f,39
ScrapMetalWreckage,-5135,-228259,735,f,39
ScrapMetalPart,17207,-200630,1477,f,39
ScrapMetalPart,-17545,-205393,772,f,39
RhyolitePickup,4166,-192262,2055,f,39
ScrapMetalWreckage,17208,-200895,1528,f,39
ScrapMetalPart,305,-199881,3783,f,39
AzuritePickup,9161,-184730,995,f,42
FuelCellWreckage,18011,-196749,990,f,39
ScrapMetalPart,-17893,-208453,598,f,39
TitaniumOre,23484,-208895,2921,f,39
ScrapMetalWreckage,7886,-217392,2863,f,39
ScrapMetalWreckage,-1994,-186152,773,f,42
FuelCellPart,-1033,-195460,3126,f,39
RhyolitePickup,-1050,-193831,2941,f,39
BauxitePickup,2433,-208270,6262,f,39
RhyolitePickup,-18726,-202885,794,f,39
ScrapMetalPart,8696,-184038,1048,f,42
RhyolitePickup,9306,-190601,1396,f,39
ScrapMetalWreckage,14114,-208439,6968,f,39
ScrapMetalPart,-7942,-192480,2516,f,39
ScrapMetalPart,-1231,-185267,680,f,42
RhyolitePickup,17538,-211647,5659,f,39
FuelCellPart,-2185,-187037,989,f,42
FuelCellPart,8958,-190493,1372,f,39
ScrapMetalPart,7861,-190493,1426,f,39
FuelCellPart,-2480,-229491,676,f,39
ScrapMetalPart,-10447,-199681,5444,f,39
FuelCellPart,-450,-185045,734,f,42
ScrapMetalPart,8446,-190446,1377,f,39
FuelCellPart,3043,-205189,8637,f,39
BrittleBush,-10759,-181075,1259,f,42
ScrapMetalPart,1170,-199304,3465,f,39
ScrapMetalPart,4206,-195132,2337,f,39
FuelCellPart,3439,-190792,2102,f,39
BasaltOre,7596,-209877,5028,f,39
ScrapMetalPart,-15366,-192351,751,f,39
ScrapMetalWreckage,-3112,-194399,3050,f,39
FuelCellPart,-7730,-206091,3833,f,39
ScrapMetalWreckage,-5758,-193481,2919,f,39
AzuriteOre,912,-208709,6186,f,39
ScrapMetalPart,20760,-205515,1252,f,39
ScrapMetalPart,17795,-201305,1419,f,39
ScrapMetalPart,-12922,-215889,542,f,39
ScrapMetalPart,1168,-197825,3059,f,39
BasaltPickup,14342,-187564,3538,f,42
ScrapMetalPart,-332,-232438,938,f,39
FuelCellPart,-3812,-227780,521,f,39
ScrapMetalPart,-3264,-228176,505,f,39
ScrapMetalPart,7490,-193774,2132,f,39
FuelCellPart,-18265,-205515,589,f,39
RhyolitePickup,-7753,-206426,3833,f,39
RhyolitePickup,-4290,-186065,907,f,42
ScrapMetalPart,-2218,-191209,2584,f,39
ScrapMetalPart,4782,-192032,1886,f,39
ScrapMetalPart,-10341,-207349,3792,f,39
BasaltOre,14715,-187330,3551,f,42
FuelCellPart,-11635,-202793,5419,f,39
FuelCellWreckage,-17534,-211911,453,f,39
ScrapMetalPart,-406,-199876,3954,f,39
ScrapMetalWreckage,-12022,-217423,612,f,39
StravidiumPickup,5255,-195857,2487,f,39
ScrapMetalPart,15904,-199946,1705,f,39
ScrapMetalWreckage,-1547,-185516,679,f,42
StravidiumPickup,1657,-199577,3472,f,39
FuelCellPart,-13661,-201353,5440,f,39
FuelCellPart,-15282,-197040,1900,f,39
FuelCellPart,-18981,-200936,828,f,39
RhyolitePickup,7074,-192489,1765,f,39
FuelCellPart,-6102,-208878,2518,f,39
FuelCellWreckage,4749,-199143,4013,f,39
BrittleBush,-6843,-205660,3793,f,39
TitaniumOre,-4368,-198837,5388,f,39
ScrapMetalWreckage,-348,-186913,1152,f,42
ScrapMetalPart,-3340,-229544,693,f,39
FuelCellWreckage,-12559,-213189,1026,f,39
RhyolitePickup,-9821,-188197,914,f,42
ScrapMetalPart,-13222,-213974,816,f,39
ScrapMetalWreckage,-13307,-213862,848,f,39
FuelCellPart,-4510,-228320,663,f,39
ScrapMetalPart,-12156,-218153,548,f,39
FuelCellPart,-1511,-192205,2760,f,39
FuelCellPart,6562,-212384,5771,f,39
FuelCellPart,2494,-215531,3137,f,39
BrittleBush,-12809,-205843,2658,f,39
ScrapMetalPart,5500,-191761,1700,f,39
FuelCellPart,5175,-190051,1847,f,39
ScrapMetalPart,2784,-204360,8535,f,39
ScrapMetalPart,-3205,-194503,3076,f,39
AzuritePickup,-18959,-205886,457,f,39
ScrapMetalWreckage,7955,-190706,1420,f,39
ScrapMetalPart,7837,-192080,1696,f,39
ScrapMetalPart,-11760,-217478,693,f,39
StravidiumOre,-13615,-202233,5418,f,39
AzuritePickup,600,-208437,6110,f,39
AzuritePickup,2733,-219576,2150,f,39
ScrapMetalWreckage,687,-187888,1606,f,42
FuelCellPart,-1971,-206860,4920,f,39
BasaltOre,8780,-203689,8915,f,39
ScrapMetalPart,-9398,-200990,5418,f,39
BrittleBush,14710,-214423,2716,f,39
ScrapMetalPart,8145,-217458,2863,f,39
FuelCellPart,12827,-196979,2306,f,39
ScrapMetalPart,-71,-190648,2325,f,39
RhyolitePickup,10883,-209767,4573,f,39
FuelCellPart,-2332,-231435,919,f,39
ScrapMetalPart,-3488,-208053,4725,f,39
ScrapMetalWreckage,16044,-199778,1640,f,39
ScrapMetalWreckage,9952,-188984,1193,f,39
FuelCellWreckage,193,-213376,3612,f,39
AzuritePickup,2276,-193606,2618,f,39
BrittleBush,-6120,-195348,3160,f,39
ScrapMetalWreckage,9268,-185170,908,f,42
RhyolitePickup,-2906,-228718,534,f,39
ScrapMetalWreckage,11084,-199886,3179,f,39
ScrapMetalWreckage,17951,-201450,1382,f,39
RhyolitePickup,-13817,-189963,636,f,39
ScrapMetalWreckage,20098,-202629,1430,f,39
RhyolitePickup,-3811,-196630,4655,f,39
ScrapMetalWreckage,688,-198301,3206,f,39
StravidiumPickup,-16447,-205942,1038,f,39
ScrapMetalWreckage,-2203,-191212,2568,f,39
AzuritePickup,-7425,-206349,3691,f,39
TitaniumOre,-3814,-198877,5474,f,39
ScrapMetalPart,-4011,-205817,4957,f,39
FuelCellPart,21083,-205532,1179,f,39
FuelCellPart,21174,-204964,1103,f,39
ScrapMetalWreckage,7757,-216566,3155,f,39
RhyolitePickup,-4392,-211013,3147,f,39
AzuritePickup,5416,-203759,8930,f,39
ScrapMetalWreckage,-700,-194392,2977,f,39
TitaniumOre,-3870,-207685,4724,f,39
BrittleBush,2737,-197575,2898,f,39
ScrapMetalPart,6753,-184677,810,f,42
ScrapMetalPart,6490,-218527,2315,f,39
ScrapMetalWreckage,8039,-192178,1725,f,39
TitaniumOre,-9004,-204124,4011,f,39
ScrapMetalWreckage,-301,-186184,990,f,42
ScrapMetalPart,6806,-194367,2202,f,39
ScrapMetalPart,10647,-215400,3908,f,39
ScrapMetalWreckage,-10202,-199807,5450,f,39
ScrapMetalWreckage,8429,-183960,993,f,42
FuelCellPart,11058,-199169,2938,f,39
RhyolitePickup,-1972,-197547,3754,f,39
RhyolitePickup,2186,-195929,2662,f,39
BrittleBush,10645,-199088,2930,f,39
ScrapMetalWreckage,7104,-194834,2383,f,39
ScrapMetalPart,9992,-189247,1212,f,39
ScrapMetalPart,6966,-191605,1569,f,39
BauxiteOre,23859,-209741,2904,f,39
ScrapMetalPart,-10709,-187979,846,f,42
ScrapMetalPart,-14057,-213725,891,f,39
FuelCellWreckage,-1105,-195336,3115,f,39
FuelCellPart,-17399,-211683,513,f,39
FuelCellPart,-17604,-211333,528,f,39
ScrapMetalPart,-297,-198793,3485,f,39
ScrapMetalPart,-1959,-185878,711,f,42
ScrapMetalPart,-1816,-185527,646,f,42
RhyolitePickup,3405,-222938,1114,f,39
ScrapMetalWreckage,-17332,-205552,814,f,39
StravidiumOre,-16097,-206158,1147,f,39
RhyolitePickup,3614,-189151,2081,f,39
ScrapMetalPart,10600,-213544,3894,f,39
ScrapMetalPart,15158,-212596,4947,f,39
RhyolitePickup,-2640,-230239,774,f,39
RhyolitePickup,-7864,-200707,5433,f,39
ScrapMetalWreckage,-4977,-195038,3256,f,39
FuelCellPart,3629,-205457,8731,f,39
ScrapMetalPart,-7183,-187205,977,f,42
ScrapMetalPart,-2382,-186107,744,f,42
ScrapMetalPart,-1129,-192576,2823,f,39
FuelCellPart,7711,-203872,8959,f,39
FuelCellWreckage,-7522,-205908,3810,f,39
ScrapMetalPart,15932,-200290,1762,f,39
ScrapMetalPart,-6265,-220278,1419,f,39
FuelCellPart,-5252,-193273,2872,f,39
ScrapMetalWreckage,-15297,-206048,1448,f,39
ScrapMetalPart,14326,-208604,6968,f,39
ScrapMetalPart,-5489,-193460,2901,f,39
RhyolitePickup,-18668,-203627,723,f,39
ScrapMetalWreckage,-6077,-220146,1484,f,39
ScrapMetalWreckage,6485,-184643,828,f,42
StravidiumOre,7750,-201808,8981,f,39
AzuritePickup,5542,-183866,732,f,42
ScrapMetalPart,7538,-216521,3147,f,39
BasaltPickup,7320,-210181,5150,f,39
ScrapMetalPart,839,-198523,3260,f,39
RhyoliteOre,-16774,-200794,2411,f,39
RhyolitePickup,9081,-185579,868,f,42
RhyolitePickup,7697,-203491,8946,f,39
ScrapMetalPart,-12574,-218172,531,f,39
BrittleBush,10666,-209352,4533,f,39
BasaltOre,-13347,-208110,3087,f,39
ScrapMetalWreckage,17893,-211731,5651,f,39
ScrapMetalPart,17722,-203540,1773,f,39
RhyolitePickup,-1438,-219754,2743,f,39
RhyolitePickup,-6619,-220535,1295,f,39
ScrapMetalPart,14443,-197216,1971,f,39
ScrapMetalPart,-11722,-192416,1992,f,39
ScrapMetalPart,-4995,-195241,3314,f,39
BauxiteOre,2813,-208117,6343,f,39
ScrapMetalWreckage,-3309,-229328,659,f,39
ScrapMetalPart,9440,-184542,1134,f,42
FuelCellPart,-13445,-214383,717,f,39
RhyoliteOre,16365,-206813,8096,f,39
AzuritePickup,-10667,-188404,928,f,39
ScrapMetalWreckage,3979,-190410,2012,f,39
FuelCellPart,2945,-193937,2470,f,39
